"","Ak_0","Ak_1530","Ak_630","Bj_0","Bj_100","Bj_280","Bj_38","Bv_0","Bv_1110","Bv_150","Bv_430","CRE_AZE","CRE_REF","DUN_AZE_1","DUN_AZE_2","DUN_AZE_3","DUN_CE_1","DUN_CE_2","DUN_CE_3","DUN_Fr_AZE_RepA","DUN_Fr_AZE_RepB","DUN_Fr_CE_RepA","DUN_Fr_CE_RepB","DUN_Fr_REF_RepA","DUN_Fr_REF_RepB","DUN_REF_1","DUN_REF_2","DUN_REF_3","DUN19_Feb_CE","DUN19_Feb_REF","DUN19_Mar_CE","DUN19_Mar_REF","HJ_0","HJ_243","HJ_304","HJ_488","HJ_50","HJ_588","KA_0","KA_179","KA_290","KA_428","KA_504","KIN_27","LIS_Fr_AZE_RepA","LIS_Fr_AZE_RepB","LIS_Fr_CE_RepA","LIS_Fr_CE_RepB","LIS_Fr_REF_RepA","LIS_Fr_REF_RepB","MAN_0","MAN_25S","MAN_50N","MAN_50S","MAN_75S","Nk_0","Nk_1330","Nk_140","Nk_34","Nk_640","St_0","St_300","St_610","St_68","St_900"
"Acetobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
"Acidimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,36,58,24,48,29,33,9,16,0,4,0,9,0,0,48,39,38,0,14,0,3,0,0,0,0,0,0,0,0,7,12,4,0,16,0,0,0,0,0,0,8,5,14,8,0,0,0,0,5,0,0,0,0,0
"Acidobacteriaceae",64,46,85,0,29,10,0,56,30,61,32,42,55,17,47,65,27,33,34,70,85,38,28,43,58,48,49,42,54,72,2,70,0,1,0,1,2,0,0,0,5,19,0,0,101,41,33,12,131,46,5,136,76,97,115,0,56,65,3,33,6,68,40,66,80
"Alteromonadaceae",16,2,0,0,7,1,14,4,7,7,4,11,0,1,5,3,1,0,2,8,4,7,15,2,3,0,1,2,22,5,21,3,0,0,0,0,8,5,0,0,2,6,2,3,4,8,3,9,2,3,0,0,3,0,1,33,1,3,30,0,4,1,0,7,15
"Anaerolineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,17,16,0,12,11,11,0,0,38,44,15,26,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,30,13,9,68,46,0,1,0,0,3,0,0,0,0,9,0,21,0,15,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,19,32,18,9,8,11,14,17,0,6,0,0,5,0,35,36,30,0,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Burkholderiaceae",0,0,0,0,15,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,9,0,0,0
"Chromatiaceae",26,0,0,4,8,0,65,8,0,15,0,3,0,14,3,13,4,2,4,9,11,17,16,2,0,0,0,0,32,0,24,0,2,28,8,0,0,12,1,0,7,3,0,502,4,8,2,8,13,16,34,2,20,2,8,19,0,0,18,0,54,0,6,0,56
"Clostridiaceae",0,0,0,0,0,0,0,17,0,0,0,10,10,4,7,2,3,5,3,0,0,0,0,3,0,18,6,11,0,1,0,5,61,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Colwelliaceae",21,4,8,0,0,6,0,0,0,5,0,92,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,3,18,0,3,0,4,0,4,0,5,0
"Cytophagaceae",43,7,6,5,31,1,4,0,0,9,21,40,25,3,18,2,5,3,4,5,4,7,15,0,0,0,0,0,16,0,6,0,60,31,39,16,35,55,15,43,24,4,1,22,6,0,3,0,0,0,0,3,14,14,16,50,0,20,16,0,47,16,192,37,74
"Dehalococcoidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Desulfobacteraceae",5,17,30,1,13,26,15,31,181,7,71,6,1,31,3,10,22,20,20,35,17,6,30,21,33,16,11,18,54,16,79,8,12,7,5,50,11,29,0,1,27,19,68,0,43,60,12,44,46,45,8,32,7,17,40,5,24,11,22,48,20,8,36,35,21
