,Sample,Farm,Country,IQI
1,AK_0_G1_RepA,Aukrasanden,Norway,0.18
2,AK_0_G1_RepB,Aukrasanden,Norway,0.18
3,AK_0_G1_RepC,Aukrasanden,Norway,0.18
4,AK_0_G2_RepA,Aukrasanden,Norway,0.14
5,AK_0_G2_RepB,Aukrasanden,Norway,0.14
6,AK_0_G2_RepC,Aukrasanden,Norway,0.14
7,AK_1530_G1_RepA,Aukrasanden,Norway,0.85
8,AK_1530_G1_RepB,Aukrasanden,Norway,0.85
9,AK_1530_G1_RepC,Aukrasanden,Norway,0.85
10,AK_1530_G2_RepA,Aukrasanden,Norway,0.85
11,AK_1530_G2_RepB,Aukrasanden,Norway,0.85
12,AK_1530_G2_RepC,Aukrasanden,Norway,0.85
13,AK_630_G1_RepA,Aukrasanden,Norway,0.74
14,AK_630_G1_RepB,Aukrasanden,Norway,0.74
15,AK_630_G1_RepC,Aukrasanden,Norway,0.74
16,AK_630_G2_RepA,Aukrasanden,Norway,0.82
17,AK_630_G2_RepB,Aukrasanden,Norway,0.82
18,AK_630_G2_RepC,Aukrasanden,Norway,0.82
19,BV_0_G1_RepA,Beitveitnes,Norway,0.25
20,BV_0_G1_RepB,Beitveitnes,Norway,0.25
21,BV_0_G1_RepC,Beitveitnes,Norway,0.25
22,BV_0_G2_RepA,Beitveitnes,Norway,0.25
23,BV_0_G2_RepB,Beitveitnes,Norway,0.25
24,BV_0_G2_RepC,Beitveitnes,Norway,0.25
25,BV_1110_G1_RepA,Beitveitnes,Norway,0.71
26,BV_1110_G1_RepB,Beitveitnes,Norway,0.71
27,BV_1110_G1_RepC,Beitveitnes,Norway,0.71
28,BV_1110_G2_RepA,Beitveitnes,Norway,0.73
29,BV_1110_G2_RepB,Beitveitnes,Norway,0.73
30,BV_1110_G2_RepC,Beitveitnes,Norway,0.73
31,BV_150_G1_RepA,Beitveitnes,Norway,0.17
32,BV_150_G1_RepB,Beitveitnes,Norway,0.17
33,BV_150_G1_RepC,Beitveitnes,Norway,0.17
34,BV_150_G2_RepA,Beitveitnes,Norway,0.2
35,BV_150_G2_RepB,Beitveitnes,Norway,0.2
36,BV_150_G2_RepC,Beitveitnes,Norway,0.2
37,BV_430_G1_RepA,Beitveitnes,Norway,0.73
38,BV_430_G1_RepB,Beitveitnes,Norway,0.73
39,BV_430_G1_RepC,Beitveitnes,Norway,0.73
40,BV_430_G2_RepA,Beitveitnes,Norway,0.74
41,BV_430_G2_RepB,Beitveitnes,Norway,0.74
42,BV_430_G2_RepC,Beitveitnes,Norway,0.74
43,BV_75_G1_RepB,Beitveitnes,Norway,0.27
44,BV_75_G1_RepC,Beitveitnes,Norway,0.27
45,BV_75_G2_RepA,Beitveitnes,Norway,0.27
46,BV_75_G2_RepB,Beitveitnes,Norway,0.27
47,BV_75_G2_RepC,Beitveitnes,Norway,0.27
48,BJ_0_G1_RepA,Bjornsvik,Norway,0.46
49,BJ_0_G1_RepB,Bjornsvik,Norway,0.46
50,BJ_0_G1_RepC,Bjornsvik,Norway,0.46
51,BJ_0_G2_RepA,Bjornsvik,Norway,0.44
52,BJ_0_G2_RepB,Bjornsvik,Norway,0.44
53,BJ_0_G2_RepC,Bjornsvik,Norway,0.44
